"タイトル","出演","出演日","区分","曲順","作品マスタ","作品楽章マスタ"
"A Shropshire Lad (orchestral rhapsody)","Osaka Pastoral Symphony Orchestra 第1回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-1-31f4532d7d5681e1b58ceb633de4c639?pvs=21)","2017年3月11日","本編","1","",""
"Concerto for Clarinet and String Orchestra, op. 31","Osaka Pastoral Symphony Orchestra 第1回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-1-31f4532d7d5681e1b58ceb633de4c639?pvs=21)","2017年3月11日","本編","2","",""
"A London Symphony in G major (Symphony no. 2) (original 1913 score)","Osaka Pastoral Symphony Orchestra 第1回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-1-31f4532d7d5681e1b58ceb633de4c639?pvs=21)","2017年3月11日","本編","3","",""
"Der Freischütz : Ouverture","ニューフィルハーモニック大阪 第19回定期演奏会 (https://www.notion.so/19-31f4532d7d56814fa63cef41063e1dc4?pvs=21)","2016年2月21日","本編","1","",""
"Concerto for Piano and Orchestra no. 1 in E minor, op. 11","ニューフィルハーモニック大阪 第19回定期演奏会 (https://www.notion.so/19-31f4532d7d56814fa63cef41063e1dc4?pvs=21)","2016年2月21日","本編","2","",""
"Symphony no. 5 in C minor, op. 67","ニューフィルハーモニック大阪 第19回定期演奏会 (https://www.notion.so/19-31f4532d7d56814fa63cef41063e1dc4?pvs=21)","2016年2月21日","本編","3","",""
"Der Freischütz : Ouverture","第4回 第九 in 高石 (https://www.notion.so/4-in-31f4532d7d568133ac78d1c2cd3c21f6?pvs=21)","2016年4月3日","本編","1","",""
"Symphony no. 9 in D minor, op. 125 “Choral”","第4回 第九 in 高石 (https://www.notion.so/4-in-31f4532d7d568133ac78d1c2cd3c21f6?pvs=21)","2016年4月3日","本編","2","",""
"Die lustige Witwe","喜歌劇「メリー・ウィドウ」 A公演 (https://www.notion.so/A-31f4532d7d56819389b2cc2cbe5037db?pvs=21)","2016年7月23日","本編","1","",""
"Die lustige Witwe","喜歌劇「メリー・ウィドウ」 A公演 (https://www.notion.so/A-31f4532d7d56819389b2cc2cbe5037db?pvs=21)","2016年7月23日","本編","1","",""
